,0,1,2,V OC (V),J SC (mA/cm-2),FF (%),PCE (%)
248_2_0,PBDTDT(Qx-2)-O/PC71BM,,,0.91,9.38,52.0,4.44
248_2_1,PBDTDT(Qx-2)-T/PC71BM,,,0.95,10.82,61.4,6.31
254_2_0,PTTPPz-BDT/PC61BM,,,0.73,7.82,61.1,3.49
254_2_1,PTTPPz-BDT/PC71BM,,,0.74,9.79,58.2,4.25
254_2_2,PTTPPz-BDTT/PC61BM,,,0.68,9.40,58.3,3.71
254_2_3,PTTPPz-BDTT/PC71BM,,,0.70,11.10,62.5,4.86
281_1_0, P1 ,,,0.78,5.21,52.2,2.13
281_1_1, P1 + DIO,,,0.83,5.28,51.0,2.22
281_1_2, P2 ,,,0.76,6.40,49.2,2.40
281_1_3, P2 + DIO,,,0.83,8.74,61.2,4.44
299_3_0, PTF1 ,,,0.57,2.95,0.30,0.51
299_3_1, POF1 ,,,0.70,2.85,0.26,0.52
299_3_2, PTF2 ,,,0.70,6.92,0.36,1.76
299_3_3, POF2 ,,,0.77,5.33,0.34,1.41
299_4_0, PTF1 ,,,0.72,4.97,0.29,1.04
299_4_1, POF1 ,,,0.79,5.17,0.30,1.22
299_4_2, PTF2 ,,,0.72,8.70,0.34,2.13
299_4_3, POF2 ,,,0.77,5.25,0.40,1.60
300_1_0,Avg,,,,,,
300_1_1,P1:PC71BM (1:3),,,0.77,,,
300_1_2,P2:PC71BM (1:3),,,0.75,,,
347_2_0,1:1 a ,,,0.75,1.63,32,0.39
347_2_1,1:2,,,0.8,2.17,38,0.66
347_2_2,1:3,,,0.8,3.35,42,1.13
347_2_3,1:4,,,0.8,4.15,44,1.46
347_2_4,1:4 b ,,,0.75,7.23,45,2.58
377_2_0,PQS,,,0.60,3.85,0.36,0.84
377_2_1,1:1 a ,,,0.57,8.60,0.48,2.37
377_2_2,1:3,,,0.46,6.07,0.35,1.01
377_2_3,PQSQT,,,0.59,3.56,0.35,0.73
377_2_4,1:1 a ,,,0.44,9.77,0.51,2.22
377_2_5,1:3,,,0.46,5.77,0.35,0.93
379_1_0, PDTPTBT : PC60BM (1:1 wt/wt),,,0.52,5.47,36.67,1.04
379_1_1, PDTPTBT : PC60BM (1:2 wt/wt),,,0.53,7.16,36.57,1.38
379_1_2, PDTPTBT : PC60BM (1:3 wt/wt),,, 0.55 , 8.91 , 42.09 , 2.04 
379_1_3, PDTPTBTB : PC60BM (1:1 wt/wt),,,0.44,5.06,26.30,0.58
379_1_4, PDTPTBTB : PC60BM (1:2 wt/wt),,,0.47,6.00,27.46,0.77
379_1_5, PDTPTBTB : PC60BM (1:3 wt/wt),,, 0.48 , 6.48 , 32.73 , 1.01 
379_1_6, PDTPTBTBI : PC60BM (1:1 wt/wt),,,0.19,3.74,26.80,0.19
379_1_7, PDTPTBTBI : PC60BM (1:2 wt/wt),,,0.44,4.97,26.80,0.59
379_1_8, PDTPTBTBI : PC60BM (1:3 wt/wt),,, 0.44 , 5.62 , 28.20 , 0.70 
385_2_0,PQTDPP:PCBM=1:0.8,,,0.59,5.47,0.64,2.06
385_2_1,PQTDPP:PCBM=1:0.8 a ,,,0.58,7.16,0.55,2.28
385_2_2,PQTVTDPP:PCBM=1:0.8,,,0.50,7.60,0.51,1.97
385_2_3,PQTVTDPP:PCBM=1:0.8 a ,,,0.47,7.27,0.44,1.53
391_2_0,P1,,,,,8×102 ,
391_2_1,P2,,,,,1×105 ,
391_3_0,P1,,,0.63,6.68,33.34,1.41
391_3_1,P1,,,0.63,8.47,40.79,2.19
391_3_2,P1,,,0.63,7.78,40.20,1.97
391_3_3,P1,,,0.62,6.68,32.19,1.34
391_3_4,P1,,,0.65,11.72,58.69,4.51
391_3_5,P1,,,0.65,11.69,56.92,4.37
391_3_6,P1,,,0.65,11.50,54.08,4.05
391_3_7,P1,,,0.65,10.96,58.13,4.16
391_3_8,P1,,,0.65,10.86,42.47,2.99
391_3_9,P1,,,0.65,9.91,38.34,2.48
391_3_10,P2,,,0.62,6.58,31.65,1.30
391_3_11,P2,,,0.62,7.74,40.41,1.94
391_3_12,P2,,,0.62,5.03,35.36,1.11
391_3_13,P2,,,0.62,4.62,30.87,0.90
