,0,1,2,V OC (V),J SC (mA/cm-2),FF (%),PCE (%)
344_1_0,PIDT‐DFBTa)a)Data from our previous work.22,,,,,2.0 × 103,
344_1_1,PIDTT‐T‐DFBT,,,,,1.6 × 104,
344_1_2,PIDTCPDT‐DFBT,,,,,2.0 × 105,
344_2_0,PIDT‐DFBTa)a)Data from our previous work;8,,,0.92 ± 0.01,10.87 ± 0.13,0.50 ± 0.01,5.10
344_2_1,PIDTT‐T‐DFBT,,,0.92 ± 0.01,10.40 ± 0.12,0.54 ± 0.02,5.26 (5.14)
344_2_2,PIDTCPDT‐DFBT,,,0.75 ± 0.01,14.59 ± 0.16,0.59 ± 0.01,6.46 (6.32)
351_0_0,1:1,,,0.7,,40.9,1.7
351_0_1,1:1,,,0.85,,49.7,2.94
351_0_2,1:2,,,0.7,,45.6,2.6
351_0_3,1:2,,,0.85,,60.5,4.28
351_0_4,1:4,,,0.78,,56.3,3.99
351_0_5,1:4,,,0.81,,65.8,6.07
351_0_6,1:4,,,0.8,,57.4,4.52
352_0_0,TQ1:[60]PCBM = 1:3,,,0.9,5.9,0.56,
352_0_1,TQ1:[60]PCBM = 1:3,,,0.86,9.4,0.6,
352_0_2,TQ1:[70]PCBM = 1:2,,,0.91,9.4,0.68,
352_0_3,TQ1:[70]PCBM = 1:3,,,0.89,10.5,0.64,
352_0_4,TQ1:[70]PCBM = 1:4,,,0.89,10.1,0.63,
354_0_0,PDTSTTz:PC70BM = 1:1a),,,0.76,10.5,0.587,4.68
354_0_1,PDTSTTz:PC70BM = 1:1b),,,0.77,11.9,0.61,5.59
354_0_2,PDTSTTz:PC70BM = 1:2a),,,0.77,10.57,0.514,4.18
354_0_3,PDTSBTz:PC70BM = 1:1c),,,0.68,7.85,0.535,2.86
362_1_0,PBnDT‐DTBT,,,0.87,10.03,57.3,5.0 (4.7)
362_1_1,PBnDT‐DTffBT,,,0.91,12.91,61.2,7.2 (6.9)
364_3_0,1:2,,,0.6,2.1,36.0,
364_3_1,1:2,,,0.76,2.43,41.0,
364_3_2,1:2,,,0.76,5.02,53.1,
364_3_3,1:2,,,0.72,3.7,50.6,
364_4_0,1:2,,,0.72,3.91,49.1,
364_4_1,1:2,,,0.74,5.97,39.5,
364_4_2,1:2,,,0.72,5.69,50.3,
364_4_3,1:2,,,0.6,2.18,37.5,
364_4_4,1:2,,,0.6,0.78,42.7,
364_4_5,1:2,,,0.46,1.57,38.5,
477_1_0,PBDT‐TPD,,,0.46,10.5,39.2,1.92
477_1_1,PBDT‐Th‐TPD,,,0.74,4.17,36.08,1.11
477_1_2,PBDT‐TT‐TPD,,,0.74,4.88,37.2,1.36
